agent1;agent2;agent3;agent4;agent5;agent6;agent7;agent8;agent9;agent10
0,585750;0,585750;0,599060;0,585750;0,718850;0,000000;0,637990;0,010000;0,596960;0,250900
0,595750;0,595750;0,609060;0,595750;0,728850;0,010000;0,647990;0,020000;0,606960;0,260900
0,605750;0,605750;0,619060;0,605750;0,738850;0,020000;0,657990;0,030000;0,616960;0,270900
0,615750;0,615750;0,629060;0,615750;0,748850;0,030000;0,667990;0,040000;0,626960;0,280900
0,625750;0,625750;0,639060;0,625750;0,758850;0,040000;0,677990;0,050000;0,636960;0,290900
0,635750;0,635750;0,649060;0,635750;0,768850;0,050000;0,687990;0,060000;0,646960;0,300900
0,645750;0,645750;0,659060;0,645750;0,778850;0,060000;0,697990;0,070000;0,656960;0,310900
0,655750;0,655750;0,669060;0,655750;0,788850;0,070000;0,707990;0,080000;0,666960;0,320900
0,665750;0,665750;0,679060;0,665750;0,798850;0,080000;0,717990;0,090000;0,676960;0,330900
0,675750;0,675750;0,689060;0,675750;0,808850;0,090000;0,727990;0,100000;0,686960;0,340900
0,685750;0,685750;0,699060;0,685750;0,818850;0,100000;0,737990;0,110000;0,696960;0,350900
0,695750;0,695750;0,709060;0,695750;0,828850;0,110000;0,747990;0,120000;0,706960;0,360900
0,705750;0,705750;0,719060;0,705750;0,838850;0,120000;0,757990;0,130000;0,716960;0,370900
0,715750;0,715750;0,729060;0,715750;0,848850;0,130000;0,767990;0,140000;0,726960;0,380900
0,725750;0,725750;0,739060;0,725750;0,858850;0,140000;0,777990;0,150000;0,736960;0,390900
0,735750;0,735750;0,749060;0,735750;0,868850;0,150000;0,787990;0,160000;0,746960;0,400900
0,745750;0,745750;0,759060;0,745750;0,878850;0,160000;0,797990;0,170000;0,756960;0,410900
0,755750;0,755750;0,769060;0,755750;0,888850;0,170000;0,807990;0,180000;0,766960;0,420900
0,765750;0,765750;0,779060;0,765750;0,898850;0,180000;0,817990;0,190000;0,776960;0,430900
0,775750;0,775750;0,789060;0,775750;0,908850;0,190000;0,827990;0,200000;0,786960;0,440900
0,785750;0,785750;0,799060;0,785750;0,918850;0,200000;0,837990;0,210000;0,796960;0,450900
0,795750;0,795750;0,809060;0,795750;0,928850;0,210000;0,847990;0,220000;0,806960;0,460900
0,805750;0,805750;0,819060;0,805750;0,938850;0,220000;0,857990;0,230000;0,816960;0,470900
0,815750;0,815750;0,829060;0,815750;0,948850;0,230000;0,867990;0,240000;0,826960;0,480900
0,825750;0,825750;0,839060;0,825750;0,958850;0,240000;0,877990;0,250000;0,836960;0,490900
0,835750;0,835750;0,849060;0,835750;0,968850;0,250000;0,887990;0,260000;0,846960;0,500900
0,845750;0,845750;0,859060;0,845750;0,978850;0,260000;0,897990;0,270000;0,856960;0,510900
0,855750;0,855750;0,869060;0,855750;0,988850;0,270000;0,907990;0,280000;0,866960;0,520900
0,865750;0,865750;0,879060;0,865750;0,998850;0,280000;0,917990;0,290000;0,876960;0,530900
0,875750;0,875750;0,889060;0,875750;1,000000;0,290000;0,927990;0,300000;0,886960;0,540900
0,885750;0,885750;0,899060;0,885750;0,000000;0,300000;0,937990;0,310000;0,896960;0,550900
0,895750;0,895750;0,909060;0,895750;0,010000;0,310000;0,947990;0,320000;0,906960;0,560900
0,905750;0,905750;0,919060;0,905750;0,020000;0,320000;0,957990;0,330000;0,916960;0,570900
0,915750;0,915750;0,929059;0,915750;0,030000;0,330000;0,967989;0,340000;0,926960;0,580900
0,925750;0,925750;0,939059;0,925750;0,040000;0,340000;0,977989;0,350000;0,936959;0,590900
0,935750;0,935750;0,949059;0,935750;0,050000;0,350000;0,987989;0,360000;0,946959;0,600900
0,945750;0,945750;0,959059;0,945750;0,060000;0,360000;0,997989;0,370000;0,956959;0,610900
0,955750;0,955750;0,969059;0,955750;0,070000;0,370000;1,000000;0,380000;0,966959;0,620900
0,965750;0,965750;0,979059;0,965750;0,080000;0,380000;0,000000;0,390000;0,976959;0,630900
0,975750;0,975750;0,989059;0,975750;0,090000;0,390000;0,010000;0,400000;0,986959;0,640900
0,985750;0,985750;0,999059;0,985750;0,100000;0,400000;0,020000;0,410000;0,996959;0,650900
0,995750;0,995750;1,000000;0,995750;0,110000;0,410000;0,030000;0,420000;1,000000;0,660900
1,000000;1,000000;0,000000;1,000000;0,120000;0,420000;0,040000;0,430000;0,000000;0,670900
0,000000;0,000000;0,010000;0,000000;0,130000;0,430000;0,050000;0,440000;0,010000;0,680900
0,010000;0,010000;0,020000;0,010000;0,140000;0,440000;0,060000;0,450000;0,020000;0,690900
0,020000;0,020000;0,030000;0,020000;0,150000;0,450000;0,070000;0,460000;0,030000;0,700900
0,030000;0,030000;0,040000;0,030000;0,160000;0,460000;0,080000;0,470000;0,040000;0,710900
0,040000;0,040000;0,050000;0,040000;0,170000;0,470000;0,090000;0,480000;0,050000;0,720900
0,050000;0,050000;0,060000;0,050000;0,180000;0,480000;0,100000;0,490000;0,060000;0,730900
0,060000;0,060000;0,070000;0,060000;0,190000;0,490000;0,110000;0,500000;0,070000;0,740900
0,070000;0,070000;0,080000;0,070000;0,200000;0,500000;0,120000;0,510000;0,080000;0,750900
0,080000;0,080000;0,090000;0,080000;0,210000;0,510000;0,130000;0,520000;0,090000;0,760900
0,090000;0,090000;0,100000;0,090000;0,220000;0,520000;0,140000;0,530000;0,100000;0,770900
0,100000;0,100000;0,110000;0,100000;0,230000;0,530000;0,150000;0,540000;0,110000;0,780900
0,110000;0,110000;0,120000;0,110000;0,240000;0,540000;0,160000;0,550000;0,120000;0,790900
0,120000;0,120000;0,130000;0,120000;0,250000;0,550000;0,170000;0,560000;0,130000;0,800900
0,130000;0,130000;0,140000;0,130000;0,260000;0,560000;0,180000;0,570000;0,140000;0,810900
0,140000;0,140000;0,150000;0,140000;0,270000;0,570000;0,190000;0,580000;0,150000;0,820900
0,150000;0,150000;0,160000;0,150000;0,280000;0,580000;0,200000;0,590000;0,160000;0,830900
0,160000;0,160000;0,170000;0,160000;0,290000;0,590000;0,210000;0,600000;0,170000;0,840900
0,170000;0,170000;0,180000;0,170000;0,300000;0,600000;0,220000;0,610000;0,180000;0,850900
0,180000;0,180000;0,190000;0,180000;0,310000;0,610000;0,230000;0,620000;0,190000;0,860899
0,190000;0,190000;0,200000;0,190000;0,320000;0,620000;0,240000;0,630000;0,200000;0,870899
0,200000;0,200000;0,210000;0,200000;0,330000;0,630000;0,250000;0,640000;0,210000;0,880899
0,210000;0,210000;0,220000;0,210000;0,340000;0,640000;0,260000;0,650000;0,220000;0,890899
0,220000;0,220000;0,230000;0,220000;0,350000;0,650000;0,270000;0,660000;0,230000;0,900899
0,230000;0,230000;0,240000;0,230000;0,360000;0,660000;0,280000;0,670000;0,240000;0,910899
0,240000;0,240000;0,250000;0,240000;0,370000;0,670000;0,290000;0,680000;0,250000;0,920899
0,250000;0,250000;0,260000;0,250000;0,380000;0,680000;0,300000;0,690000;0,260000;0,930899
0,260000;0,260000;0,270000;0,260000;0,390000;0,690000;0,310000;0,700000;0,270000;0,940899
0,270000;0,270000;0,280000;0,270000;0,400000;0,700000;0,320000;0,710000;0,280000;0,950899
0,280000;0,280000;0,290000;0,280000;0,410000;0,710000;0,330000;0,720000;0,290000;0,960899
0,290000;0,290000;0,300000;0,290000;0,420000;0,720000;0,340000;0,730000;0,300000;0,970899
0,300000;0,300000;0,310000;0,300000;0,430000;0,730000;0,350000;0,740000;0,310000;0,980899
0,310000;0,310000;0,320000;0,310000;0,440000;0,740000;0,360000;0,750000;0,320000;0,990899
0,320000;0,320000;0,330000;0,320000;0,450000;0,750000;0,370000;0,760000;0,330000;1,000000
0,330000;0,330000;0,340000;0,330000;0,460000;0,760000;0,380000;0,770000;0,340000;0,000000
0,340000;0,340000;0,350000;0,340000;0,470000;0,770000;0,390000;0,780000;0,350000;0,010000
0,350000;0,350000;0,360000;0,350000;0,480000;0,780000;0,400000;0,790000;0,360000;0,020000
0,360000;0,360000;0,370000;0,360000;0,490000;0,790000;0,410000;0,800000;0,370000;0,030000
0,370000;0,370000;0,380000;0,370000;0,500000;0,800000;0,420000;0,810000;0,380000;0,040000
0,380000;0,380000;0,390000;0,380000;0,510000;0,810000;0,430000;0,820000;0,390000;0,050000
0,390000;0,390000;0,400000;0,390000;0,520000;0,820000;0,440000;0,830000;0,400000;0,060000
0,400000;0,400000;0,410000;0,400000;0,530000;0,830000;0,450000;0,840000;0,410000;0,070000
0,410000;0,410000;0,420000;0,410000;0,540000;0,840000;0,460000;0,850000;0,420000;0,080000
0,420000;0,420000;0,430000;0,420000;0,550000;0,850000;0,470000;0,860000;0,430000;0,090000
0,430000;0,430000;0,440000;0,430000;0,560000;0,860000;0,480000;0,870000;0,440000;0,100000
